s17	s18	s19
1	0	0
3	0	0
6	0	0
9	0	0
11	0	0
13	0	0
14	0	0
15	0	0
16	0	3
17	0	4
17	0	5
13	0	6
6	0	6
3	0	2
1	0	0
2	0	0
9	0	0
14	0	0
17	0	0
19	0	0
20	0	0
13	0	0
10	0	0
6	0	0
5	0	0
9	0	0
14	0	0
15	0	0
11	0	0
9	0	0
10	0	0
12	0	0
13	0	0
9	0	0
9	0	0
8	0	0
9	0	0
15	0	0
15	0	0
15	0	0
15	0	0
13	0	0
6	0	0
5	0	0
4	0	0
4	0	0
4	0	0
4	0	0
4	0	0
4	0	0
4	0	0
4	0	0
4	0	0
4	0	0
4	0	0
4	0	0
4	0	0
4	0	0
4	0	0
4	0	0
